식재료,English
나물,Herb
샐러드,salad
메추리알,Quail
강황,curcuma
백미,White rice
포도,grape
밴댕이,Bandang
파,green onion
밤,night
참기름,Sesame oil
떡볶이떡,Tteokbokki
키위,kiwi
곶감,Dried persimmon
두부,tofu
오렌지,orange
백김치,White kimchi
로즈메리,Rose Mary
고추기름,Pepper oil
냉국,Cold country
파인애플,pineapple
달걀,egg
구기자,Gojija
스프,Soup
머위,coltsfoot
바닐라,vanilla
포도주,wine
우렁,Rug
시럽,syrup
가자미,flounder
콩기름,Bean oil
망고,mango
쌀밥,Rice
주스,juice
홍두깨,Red head
아귀,crotch
한천,Agar
백합,lily
병어,Venom
메밀묵,Buckwheat
크루통,Crutet
가지,egg plant
깍두기,Diced
명란젓,Cod roe
땅콩,peanut
통조림,canned goods
버거,Burger
쌀,rice
소라,Sora
새싹,sprout
현미,Brown rice
대하,jumbo shrimp
두반장,Bubble
스리라차,Sriracha
문어,octopus
조기,croaker
열무김치,Yeolmu kimchi
메밀,buckwheat
계피,cinnamon
비트,bit
팥,red bean
대추,jujube
조청,Chapel
연근,Lotus root
튀김,fry
밥,rice
얼음,ice
된장,soybean paste
초고추장,Pepper paste
사태,situation
순무,turnip
젤라틴,gelatin
캐러멜,caramel
잣,pine nut
까나리,Canary
민들레,dandelion
블루베리,Blueberries
라임,lime
비스킷,biscuit
엿기름,malt
식빵,white bread
노른자,Yolk
쪽,side
리치,Rich
배추,napa cabbage
콜리플라워,Colliflower
뽕잎,Mulberry leaf
새우젓,Shrimp
양지,Sunshine
증편,Increase
황태,Yellow -tae
페페로니,Pepperoni
카레가루,Curry powder
건포도,raisin
옥수수,corner
두릅,Row
인삼,ginseng
타피오카,tapioca
산딸기,raspberry
밀가루,flour
간장,soy sauce
새우,shrimp
차돌박이,Marbled
과일,fruit
게살,Crab meat
대파,green onion
도토리,acorn
쌀겨,Rice bran
케첩,ketchup
숙주,host
연유,Condensation
카레,curry
쌈장,Ssamjang
젓갈,Salted fish
차,car
타가토스,Tagatos
귤,mandarin
골파,chive
갑오징어,Cuttlefish
참취,Tamper
와인,Wine
콩가루,Soybean powder
돈가스,Pork cutlet
스파게티면,Spaghetti
오이,cucumber
딸기,strawberry
해초,seaweeds
진달래꽃,Rhododendron
베이컨,bacon
콩고기,Bean meat
참마,yam
누룩,yeast
죽순,Bamboo shoots
바지락,Clam
배추김치,cabbage kimchi
크림,cream
대구,daegu
생선,fish
이스트,Yeast
우동면,udon noodles
방울토마토,Cherry
표고버섯,Shiitake
생강,ginger
바비큐,Barbecue
호박,pumpkin
전지,battery
전복,abalone
양배추,cabbage
월계수,bay tree
삼겹살,pork belly
홍합,Mussels
도토리묵,Acorn jelly
베이킹파우더,Baking powder
주꾸미,Jukkumi
상추,lettuce
참깨,sesame
미더덕,Miduduk
고사리,bracken
꽃게,Crab
양송이버섯,Mushroom
떡갈비,Tteokgalbi
천일염,Sun salt
맛살,Flavor
멸치,anchovy
당면,Verse
광어,Flounder
대패삼겹살,Pork belly
티백,Tea bag
닭,chicken
맥주,beer
유부,Tortilla
다시마,Kelp
고기,meat
굴,cave
소면,carding
등심,sirloin
은행,bank
무화과,fig
올리브,olive
소금,salt
적포도주,red wine
귀리,oats
도라지,balloon flower
감자,potato
날치,flying fish
고추냉이,Wasabi
오징어,calamari
셀러리,celery
대두,Soybean
보리새우,Barley shrimp
잡곡,Grain
보리,barley
고추장,chili pepper paste
피클,Pickle
꽈리고추,Chili Pepper
